_id,status,userId,examId,timeSpent,results,score,numberOfCorrectAnswers,numberOfSkippedQuestions,numberOfWrongAnswers,percentage,remark,total,createdAt,updatedAt,__v
616ff267bae7580016355070,pending,6154838ed1e76e5ff85b8b1e,616840fcdf6ca80c9c5a328a,1030,"[{""_id"":{""$oid"":""616ff267bae7580016355071""},""questionId"":{""$oid"":""61694476626c322c9c0d4f1c""},""optionSelected"":3,""mark_weight"":30,""correctOption"":3}]",30,1,0,0,1,You were Excellent.,30,2021-10-20T10:41:43.933Z,2021-10-20T10:41:43.933Z,0
616ff5d4bae758001635512e,pending,6154838ed1e76e5ff85b8b1e,616840fcdf6ca80c9c5a328a,1030,"[{""_id"":{""$oid"":""616ff5d4bae758001635512f""},""questionId"":{""$oid"":""616ff5b7bae758001635512c""},""optionSelected"":3,""mark_weight"":15,""correctOption"":3}]",15,1,0,0,1,You were Excellent.,15,2021-10-20T10:56:20.281Z,2021-10-20T10:56:20.281Z,0
616ff65fbae7580016355143,marked,6154838ed1e76e5ff85b8b1e,616840fcdf6ca80c9c5a328a,1030,"[{""_id"":{""$oid"":""616ff65fbae7580016355144""},""questionId"":{""$oid"":""616ff5b7bae758001635512c""},""optionSelected"":3,""mark_weight"":15,""correctOption"":3}]",15,1,0,0,1,You were Excellent.,15,2021-10-20T10:58:39.235Z,2021-10-20T10:58:39.235Z,0
617bdf23fc556a00169f1180,marked,6154838ed1e76e5ff85b8b1e,616840fcdf6ca80c9c5a328a,1030,"[{""_id"":{""$oid"":""617bdf23fc556a00169f1181""},""questionId"":{""$oid"":""61694476626c322c9c0d4f1c""},""optionSelected"":3,""mark_weight"":30,""correctOption"":3},{""_id"":{""$oid"":""617bdf23fc556a00169f1182""},""questionId"":{""$oid"":""61694666ca86aa507c1d4a15""},""optionSelected"":3,""mark_weight"":30,""correctOption"":3},{""_id"":{""$oid"":""617bdf23fc556a00169f1183""},""questionId"":{""$oid"":""61694502f1efc147209db21d""},""optionSelected"":3,""mark_weight"":30,""correctOption"":3},{""_id"":{""$oid"":""617bdf23fc556a00169f1184""},""questionId"":{""$oid"":""616944d6e6826c167c7c9486""},""optionSelected"":3,""mark_weight"":30,""correctOption"":3},{""_id"":{""$oid"":""617bdf23fc556a00169f1185""},""questionId"":{""$oid"":""616946b2411dcd3ce008946d""},""optionSelected"":3,""mark_weight"":30,""correctOption"":3}]",150,5,0,0,1,You were Excellent.,150,2021-10-29T11:46:43.047Z,2021-10-29T11:46:43.047Z,0
617be0c1fc556a00169f1187,pending,6154838ed1e76e5ff85b8b1e,617ac528401e8643c8353b32,1030,"[{""_id"":{""$oid"":""617be0c1fc556a00169f1188""},""questionId"":{""$oid"":""617ac539401e8643c8353b3a""},""mark_weight"":30,""assignedScore"":42,""graded"":true},{""_id"":{""$oid"":""617be0c1fc556a00169f1189""},""questionId"":{""$oid"":""617ac620401e8643c8353b5d""},""optionSelected"":3,""mark_weight"":30,""correctOption"":3}]",60,2,0,0,1,You were Excellent.,60,2021-10-29T11:53:37.541Z,2021-10-29T14:27:01.774Z,0
6182bb32ebf7424e10c4d4e1,pending,603fdf31a36c060015655272,617fb7e7537625528cf4f721,15,"[{""graded"":false,""_id"":{""$oid"":""6182bb32ebf7424e10c4d4e2""},""questionId"":{""$oid"":""61807f701a5eec0016682dbe""},""optionSelected"":0,""correctOption"":3,""markWeight"":30},{""graded"":false,""_id"":{""$oid"":""6182bb32ebf7424e10c4d4e3""},""questionId"":{""$oid"":""61807f951a5eec0016682dc0""},""optionSelected"":1,""correctOption"":3,""markWeight"":30},{""graded"":false,""_id"":{""$oid"":""6182bb32ebf7424e10c4d4e4""},""questionId"":{""$oid"":""61807f9d1a5eec0016682dc2""},""optionSelected"":2,""correctOption"":3,""markWeight"":30},{""graded"":false,""_id"":{""$oid"":""6182bb32ebf7424e10c4d4e5""},""questionId"":{""$oid"":""6181455cab161872687061a7""},""optionSelected"":1,""correctOption"":3,""markWeight"":30}]",0,0,1,3,0,You can do better.,120,2021-11-03T16:39:14.113Z,2021-11-03T16:39:14.113Z,0
6182bee3ebf7424e10c4d519,pending,603fdf31a36c060015655272,617fb7e7537625528cf4f721,15,"[{""graded"":false,""_id"":{""$oid"":""6182bee3ebf7424e10c4d51a""},""questionId"":{""$oid"":""61807f701a5eec0016682dbe""},""optionSelected"":0,""correctOption"":3,""markWeight"":30},{""graded"":false,""_id"":{""$oid"":""6182bee3ebf7424e10c4d51b""},""questionId"":{""$oid"":""61807f951a5eec0016682dc0""},""optionSelected"":1,""correctOption"":3,""markWeight"":30},{""graded"":false,""_id"":{""$oid"":""6182bee3ebf7424e10c4d51c""},""questionId"":{""$oid"":""61807f9d1a5eec0016682dc2""},""optionSelected"":2,""correctOption"":3,""markWeight"":30},{""graded"":false,""_id"":{""$oid"":""6182bee3ebf7424e10c4d51d""},""questionId"":{""$oid"":""6181455cab161872687061a7""},""optionSelected"":0,""correctOption"":3,""markWeight"":30}]",0,0,2,2,0,You can do better.,120,2021-11-03T16:54:59.236Z,2021-11-03T16:54:59.236Z,0
6182bf4febf7424e10c4d616,pending,603fdf31a36c060015655272,617fb7e7537625528cf4f721,15,"[{""graded"":false,""_id"":{""$oid"":""6182bf4febf7424e10c4d617""},""questionId"":{""$oid"":""61807f701a5eec0016682dbe""},""optionSelected"":1,""correctOption"":3,""markWeight"":30},{""graded"":false,""_id"":{""$oid"":""6182bf4febf7424e10c4d618""},""questionId"":{""$oid"":""61807f951a5eec0016682dc0""},""optionSelected"":0,""correctOption"":3,""markWeight"":30},{""graded"":false,""_id"":{""$oid"":""6182bf4febf7424e10c4d619""},""questionId"":{""$oid"":""61807f9d1a5eec0016682dc2""},""optionSelected"":1,""correctOption"":3,""markWeight"":30},{""graded"":false,""_id"":{""$oid"":""6182bf4febf7424e10c4d61a""},""questionId"":{""$oid"":""6181455cab161872687061a7""},""optionSelected"":2,""correctOption"":3,""markWeight"":30}]",0,0,1,3,0,You can do better.,120,2021-11-03T16:56:47.590Z,2021-11-03T16:56:47.590Z,0
6182c0b7ebf7424e10c4d714,pending,603fdf31a36c060015655272,617fb7e7537625528cf4f721,15,"[{""graded"":false,""_id"":{""$oid"":""6182c0b7ebf7424e10c4d715""},""questionId"":{""$oid"":""61807f701a5eec0016682dbe""},""optionSelected"":3,""correctOption"":3,""markWeight"":30},{""graded"":false,""_id"":{""$oid"":""6182c0b7ebf7424e10c4d716""},""questionId"":{""$oid"":""61807f951a5eec0016682dc0""},""optionSelected"":3,""correctOption"":3,""markWeight"":30},{""graded"":false,""_id"":{""$oid"":""6182c0b7ebf7424e10c4d717""},""questionId"":{""$oid"":""61807f9d1a5eec0016682dc2""},""optionSelected"":3,""correctOption"":3,""markWeight"":30},{""graded"":false,""_id"":{""$oid"":""6182c0b7ebf7424e10c4d718""},""questionId"":{""$oid"":""6181455cab161872687061a7""},""optionSelected"":3,""correctOption"":3,""markWeight"":30}]",120,4,0,0,1,You were Excellent.,120,2021-11-03T17:02:47.558Z,2021-11-03T17:02:47.558Z,0
6182c0e3ebf7424e10c4d733,pending,603fdf31a36c060015655272,617fb7e7537625528cf4f721,15,"[{""graded"":false,""_id"":{""$oid"":""6182c0e3ebf7424e10c4d734""},""questionId"":{""$oid"":""61807f701a5eec0016682dbe""},""optionSelected"":3,""correctOption"":3,""markWeight"":30},{""graded"":false,""_id"":{""$oid"":""6182c0e3ebf7424e10c4d735""},""questionId"":{""$oid"":""61807f951a5eec0016682dc0""},""optionSelected"":3,""correctOption"":3,""markWeight"":30},{""graded"":false,""_id"":{""$oid"":""6182c0e3ebf7424e10c4d736""},""questionId"":{""$oid"":""61807f9d1a5eec0016682dc2""},""optionSelected"":3,""correctOption"":3,""markWeight"":30},{""graded"":false,""_id"":{""$oid"":""6182c0e3ebf7424e10c4d737""},""questionId"":{""$oid"":""6181455cab161872687061a7""},""optionSelected"":3,""correctOption"":3,""markWeight"":30}]",120,4,0,0,1,You were Excellent.,120,2021-11-03T17:03:31.726Z,2021-11-03T17:03:31.726Z,0
